+-------------+----------------------------------+-------------------------------------+---------------------------------------+-----------------------------------+
| Values of N | Time Complexity for Naive Search | Time Complexity for BottomUp Search | Time Complexity for ClosedForm Search | Time Complexity for Matrix Search |
|    21139    |             Too Long             |         0.00469277899999998         |      Will throw math range error      |        0.05742994099999965        |
|    21345    |             Too Long             |         0.005574399999999535        |      Will throw math range error      |        0.061990896000000184       |
|    21552    |             Too Long             |         0.004827419999999805        |      Will throw math range error      |        0.05815635500000038        |
|    21760    |             Too Long             |         0.004963205000000137        |      Will throw math range error      |         0.0604861449999996        |
|    21969    |             Too Long             |         0.006316310999999963        |      Will throw math range error      |        0.05971230199999944        |
|    22179    |             Too Long             |         0.00505466099999996         |      Will throw math range error      |        0.06107660600000031        |
|    22390    |             Too Long             |         0.005062595000000059        |      Will throw math range error      |        0.06158770299999983        |
|    22602    |             Too Long             |         0.005136395000000071        |      Will throw math range error      |        0.06441445300000037        |
|    22815    |             Too Long             |         0.005272660000000151        |      Will throw math range error      |        0.06324171899999964        |
|    23029    |             Too Long             |         0.005319269000000126        |      Will throw math range error      |        0.06494155599999996        |
|    23244    |             Too Long             |         0.005440596999999769        |      Will throw math range error      |        0.06552495700000005        |
|    23460    |             Too Long             |         0.005546594999999321        |      Will throw math range error      |        0.06661157600000056        |
|    23677    |             Too Long             |         0.005607835000000172        |      Will throw math range error      |        0.06753515299999968        |
|    23895    |             Too Long             |         0.005714907000000657        |      Will throw math range error      |        0.07611048099999973        |
|    24114    |             Too Long             |         0.006220788000000255        |      Will throw math range error      |        0.07202496800000002        |
|    24334    |             Too Long             |         0.005887185999999822        |      Will throw math range error      |        0.07299517399999988        |
|    24555    |             Too Long             |         0.006250431999999861        |      Will throw math range error      |        0.07295250000000042        |
|    24777    |             Too Long             |         0.006106704000000462        |      Will throw math range error      |        0.07305096900000052        |
|    25000    |             Too Long             |         0.006234777999999608        |      Will throw math range error      |        0.07575444899999972        |
|    25224    |             Too Long             |         0.00636937400000015         |      Will throw math range error      |        0.07611103600000035        |
|    25449    |             Too Long             |        0.0063972369999998335        |      Will throw math range error      |        0.07748903299999998        |
|    25675    |             Too Long             |        0.0065069170000002785        |      Will throw math range error      |         0.0781931509999998        |
|    25902    |             Too Long             |         0.006695340999999466        |      Will throw math range error      |         0.0795970730000004        |
|    26130    |             Too Long             |         0.006689993000000172        |      Will throw math range error      |         0.0803035749999994        |
|    26359    |             Too Long             |         0.006763532999999988        |      Will throw math range error      |         0.0816666399999999        |
|    26589    |             Too Long             |         0.006935568000000281        |      Will throw math range error      |        0.08585780800000009        |
|    26820    |             Too Long             |         0.007315307000000715        |      Will throw math range error      |        0.08461011600000035        |
|    27052    |             Too Long             |         0.007088056999999814        |      Will throw math range error      |        0.08493043200000017        |
|    27285    |             Too Long             |         0.007148034000000081        |      Will throw math range error      |        0.08673766300000008        |
|    27519    |             Too Long             |         0.007345358000000246        |      Will throw math range error      |        0.08758360299999968        |
|    27754    |             Too Long             |         0.007426023999999032        |      Will throw math range error      |        0.08931290900000022        |
|    27990    |             Too Long             |         0.007709768999999866        |      Will throw math range error      |        0.09078655100000077        |
|    28227    |             Too Long             |         0.007685526000001275        |      Will throw math range error      |            0.091903297            |
|    28465    |             Too Long             |         0.007783184000000887        |      Will throw math range error      |        0.09273418000000078        |
|    28704    |             Too Long             |         0.007906822999999008        |      Will throw math range error      |        0.09482419700000122        |
|    28944    |             Too Long             |         0.008507131000000001        |      Will throw math range error      |        0.09730061600000006        |
|    29185    |             Too Long             |         0.008805947000000813        |      Will throw math range error      |        0.09924113400000145        |
|    29427    |             Too Long             |         0.008187326999999911        |      Will throw math range error      |        0.10093678500000003        |
+-------------+----------------------------------+-------------------------------------+---------------------------------------+-----------------------------------+
